change,changePercent,close,date,high,low,open,volume,volumeChange,vwap
-0.05,-0.503,9.9,2020-04-27 00:00:00,9.95,9.86,9.95,176100.0,0.8568176274493862,9.90333
-0.028,-0.282,9.9,2020-04-28 00:00:00,9.96,9.81,9.928,1229900.0,-132.68478260869566,9.89
0.0,0.0,9.9,2020-04-29 00:00:00,9.97,9.9,9.9,9200.0,0.8891566265060241,9.92333
-0.05,-0.505,9.85,2020-04-30 00:00:00,9.9,9.85,9.9,83000.0,0.6756545525595936,9.86667
-0.05,-0.505,9.85,2020-05-01 00:00:00,9.9,9.83,9.9,255900.0,-0.19859484777517564,9.86
-0.04,-0.405,9.84,2020-05-04 00:00:00,9.88,9.83,9.88,213500.0,0.7296441686716475,9.85
-0.038,-0.385,9.842,2020-05-05 00:00:00,9.88,9.842,9.88,789700.0,-492.5625,9.85467
-0.183,-1.823,9.857,2020-05-06 00:00:00,10.04,9.857,10.04,1600.0,0.9897828863346104,9.918
-0.01,-0.101,9.86,2020-05-07 00:00:00,9.87,9.84,9.87,156600.0,0.5520594965675057,9.85667
0.15,1.523,10.0,2020-05-08 00:00:00,10.0,9.85,9.85,349600.0,0.5154539154539155,9.95
-0.15,-1.485,9.95,2020-05-11 00:00:00,10.1,9.95,10.1,721500.0,-5.517615176151762,10.0
-0.54,-5.099,10.05,2020-05-12 00:00:00,10.59,9.97,10.59,110700.0,0.5538089480048367,10.20333
-0.25,-2.404,10.15,2020-05-13 00:00:00,10.4,10.07,10.4,248100.0,0.18307540335857755,10.20667
-0.515,-4.822,10.165,2020-05-14 00:00:00,10.68,10.14,10.68,303700.0,-0.5776623376623377,10.32833
-0.053,-0.518,10.187,2020-05-15 00:00:00,10.25,10.18,10.24,192500.0,0.8285841495992876,10.20567
0.03,0.295,10.2,2020-05-18 00:00:00,10.33,10.145,10.17,1123000.0,-5.598119858989424,10.225
-0.02,-0.196,10.2,2020-05-19 00:00:00,10.25,10.0,10.22,170200.0,0.1464393179538616,10.15
0.03,0.294,10.25,2020-05-20 00:00:00,10.29,10.08,10.22,199400.0,0.3013314646110722,10.20667
0.0,0.0,10.25,2020-05-21 00:00:00,10.4,10.21,10.25,285400.0,-7.2485549132947975,10.28667
0.01,0.098,10.26,2020-05-22 00:00:00,10.29,10.2,10.25,34600.0,0.4948905109489051,10.25
-0.075,-0.73,10.195,2020-05-26 00:00:00,10.27,10.18,10.27,68500.0,-0.21453900709219859,10.215
0.08,0.79,10.21,2020-05-27 00:00:00,10.21,10.06,10.13,56400.0,0.16936671575846834,10.16
0.02,0.196,10.2,2020-05-28 00:00:00,10.3,10.15,10.18,67900.0,0.7788993813090198,10.21667
0.1,0.985,10.25,2020-05-29 00:00:00,10.49,10.15,10.15,307100.0,-2.7,10.29667
-0.12,-1.157,10.25,2020-06-01 00:00:00,10.37,10.15,10.37,83000.0,0.1814595660749507,10.25667
0.05,0.49,10.25,2020-06-02 00:00:00,10.27,10.195,10.2,101400.0,-0.43626062322946174,10.23833
-0.02,-0.195,10.25,2020-06-03 00:00:00,10.3,10.21,10.27,70600.0,0.02620689655172414,10.25333
-0.04,-0.389,10.25,2020-06-04 00:00:00,10.3,10.22,10.29,72500.0,0.7662798194713089,10.25667
-0.08,-0.774,10.25,2020-06-05 00:00:00,10.43,10.05,10.33,310200.0,0.1978277734678045,10.24333
0.0,0.0,10.24,2020-06-08 00:00:00,10.45,10.06,10.24,386700.0,0.6344990548204159,10.25
-0.11,-1.058,10.29,2020-06-09 00:00:00,10.42,10.17,10.4,1058000.0,0.007318446237568024,10.29333
-0.03,-0.285,10.5,2020-06-10 00:00:00,10.9,10.11,10.53,1065800.0,-1.6832829808660625,10.50333
-0.1,-0.952,10.4,2020-06-11 00:00:00,10.583,10.3,10.5,397200.0,-4.296,10.42767
-0.12,-1.135,10.45,2020-06-12 00:00:00,10.594,10.3,10.57,75000.0,-0.051893408134642355,10.448
-0.01,-0.095,10.5,2020-06-15 00:00:00,10.6,10.38,10.51,71300.0,0.8465016146393972,10.49333
-0.1,-0.944,10.49,2020-06-16 00:00:00,10.59,10.3,10.59,464500.0,-0.24397429030530263,10.46
-0.03,-0.283,10.56,2020-06-17 00:00:00,10.61,10.4,10.59,373400.0,-0.4021779947427713,10.52333
-0.09,-0.849,10.51,2020-06-18 00:00:00,10.72,10.48,10.6,266300.0,0.5354152128401954,10.57
-0.02,-0.19,10.53,2020-06-19 00:00:00,10.6,10.433,10.55,573200.0,0.10395497889635767,10.521
-0.22,-2.058,10.47,2020-06-22 00:00:00,10.69,10.4,10.69,639700.0,-0.7779321845469706,10.52
0.02,0.19,10.57,2020-06-23 00:00:00,10.6,10.35,10.55,359800.0,0.1005,10.50667
-0.07,-0.662,10.5,2020-06-24 00:00:00,10.6,10.37,10.57,400000.0,0.2854590925330475,10.49
0.25,2.381,10.75,2020-06-25 00:00:00,10.85,10.44,10.5,559800.0,0.062311557788944726,10.68
-0.08,-0.746,10.65,2020-06-26 00:00:00,10.86,10.5,10.73,597000.0,0.05298223350253807,10.67
-0.02,-0.186,10.76,2020-06-29 00:00:00,10.84,10.625,10.78,630400.0,-0.21839969076149982,10.74167
0.18,1.667,10.98,2020-06-30 00:00:00,10.982,10.75,10.8,517400.0,-0.14342541436464087,10.904
-0.04,-0.364,10.96,2020-07-01 00:00:00,11.25,10.93,11.0,452500.0,-0.5783048482734566,11.04667
-0.06,-0.547,10.9,2020-07-02 00:00:00,11.0,10.872,10.96,286700.0,0.8879815581776979,10.924
0.26,2.364,11.26,2020-07-06 00:00:00,11.36,11.0,11.0,2559400.0,-3.693563176233266,11.20667
-0.35,-3.043,11.15,2020-07-07 00:00:00,11.6,10.92,11.5,545300.0,-0.4619302949061662,11.22333
0.03,0.269,11.18,2020-07-08 00:00:00,11.32,11.02,11.15,373000.0,-0.2739071038251366,11.17333
-0.16,-1.406,11.22,2020-07-09 00:00:00,11.39,10.95,11.38,292800.0,-1.4379683597002497,11.18667
-0.03,-0.267,11.21,2020-07-10 00:00:00,11.24,11.03,11.24,120100.0,0.7697910676634081,11.16
-0.68,-5.792,11.06,2020-07-13 00:00:00,11.74,10.57,11.74,521700.0,-3.117600631412786,11.12333
0.23,2.136,11.0,2020-07-14 00:00:00,11.24,10.77,10.77,126700.0,0.15981432360742706,11.00333
0.06,0.549,10.99,2020-07-15 00:00:00,11.13,10.81,10.93,150800.0,0.9809352836319043,10.97667
0.24,2.005,12.21,2020-07-16 00:00:00,12.44,11.01,11.97,7909900.0,-1.5366878327240074,11.88667
0.1,0.82,12.3,2020-07-17 00:00:00,12.85,11.86,12.2,3118200.0,-2.194549738756275,12.33667
-0.76,-6.139,11.62,2020-07-20 00:00:00,12.55,11.23,12.38,976100.0,0.2323843976093111,11.8
0.6,5.172,12.2,2020-07-21 00:00:00,12.33,11.48,11.6,1271600.0,-1.389776357827476,12.00333
0.13,1.078,12.19,2020-07-22 00:00:00,12.3,11.8,12.06,532100.0,-0.1294841859477818,12.09667
-0.36,-2.973,11.75,2020-07-23 00:00:00,12.3,11.65,12.11,471100.0,0.02886002886002886,11.9
0.08,0.689,11.69,2020-07-24 00:00:00,12.15,11.44,11.61,485100.0,-0.6078886310904872,11.76
-0.33,-2.804,11.44,2020-07-27 00:00:00,11.78,11.27,11.77,301700.0,-0.20103503184713375,11.49667
-0.12,-1.043,11.38,2020-07-28 00:00:00,11.53,11.31,11.5,251200.0,0.2557037037037037,11.40667
-0.15,-1.316,11.25,2020-07-29 00:00:00,11.5,11.17,11.4,337500.0,0.266304347826087,11.30667
-0.24,-2.149,10.93,2020-07-30 00:00:00,11.34,10.9,11.17,460000.0,0.48695070265447243,11.05667
-0.4,-3.64,10.59,2020-07-31 00:00:00,11.14,10.48,10.99,896600.0,-0.12454534052426941,10.73667
-0.13,-1.221,10.52,2020-08-03 00:00:00,10.7,10.26,10.65,797300.0,-0.6870503597122302,10.49333
-0.02,-0.187,10.65,2020-08-04 00:00:00,10.85,10.52,10.67,472600.0,0.5448767334360555,10.67333
-0.17,-1.57,10.66,2020-08-05 00:00:00,10.83,10.48,10.83,1038400.0,-5.158956109134045,10.65667
-0.01,-0.093,10.79,2020-08-06 00:00:00,10.8,10.55,10.8,168600.0,0.7252281616688396,10.71333
-0.25,-2.304,10.6,2020-08-07 00:00:00,10.85,10.5,10.85,613600.0,-2.9107711918419374,10.65
0.14,1.321,10.74,2020-08-10 00:00:00,10.75,10.51,10.6,156900.0,0.5167847243609486,10.66667
0.1,0.943,10.71,2020-08-11 00:00:00,10.74,10.57,10.61,324700.0,0.7092065197922264,10.67333
0.25,2.347,10.9,2020-08-12 00:00:00,11.1,10.65,10.65,1116600.0,-2.38261132990003,10.88333
0.05,0.457,10.99,2020-08-13 00:00:00,11.09,10.9,10.94,330100.0,-1.6219221604447975,10.99333
-0.18,-1.629,10.87,2020-08-14 00:00:00,11.15,10.79,11.05,125900.0,0.2989977728285078,10.93667
0.14,1.302,10.89,2020-08-17 00:00:00,11.051,10.75,10.75,179600.0,0.46033653846153844,10.897
-0.11,-1.019,10.69,2020-08-18 00:00:00,10.92,10.66,10.8,332800.0,0.23335636950011518,10.75667
-0.4,-3.717,10.36,2020-08-19 00:00:00,10.83,10.35,10.76,434100.0,-1.7706683176216036,10.51333
0.18,1.736,10.55,2020-08-20 00:00:00,10.58,10.37,10.37,156677.0,0.30581745680106337,10.5
0.16,1.533,10.6,2020-08-21 00:00:00,10.79,10.42,10.44,225700.0,0.06270764119601328,10.60333
